epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7813333333333335,1.3967313243618629,0.001,0.79,1.3766078301284652
2,0.8043999999999996,1.3367851776468629,0.001,0.752,1.3557719277401956
3,0.8025333333333333,1.312739552295917,0.001,0.732,1.3484214593228179
4,0.8202666666666667,1.2997151885049527,0.001,0.772,1.347703243002377
5,0.8072,1.3017432903995982,0.001,0.782,1.3287591089569992
6,0.8105333333333335,1.3049438860670324,0.001,0.732,1.3529452976831116
7,0.8206666666666667,1.2862192298764625,0.001,0.758,1.3295465257358896
8,0.8051999999999997,1.2956751070238874,0.001,0.77,1.3272286625153504
9,0.8335999999999997,1.278212229150533,0.001,0.766,1.312328986188139
10,0.8086666666666668,1.294239908785232,0.001,0.796,1.3125923826231762
11,0.8235999999999999,1.2733637821772552,0.001,0.796,1.3452615270097485
12,0.8149333333333331,1.286901582750317,0.001,0.774,1.3158102180815117
13,0.8075999999999997,1.295758239119205,0.001,0.784,1.3108397809361438
14,0.8022666666666666,1.287792907585178,0.001,0.768,1.3303813904435482
15,0.8086666666666666,1.2858600537350018,0.001,0.802,1.305242878709514
16,0.82,1.2866232838581806,0.001,0.79,1.3070830149997905
17,0.8118666666666666,1.2778770231974463,0.001,0.768,1.3318179548045896
18,0.8327999999999999,1.2667889799935452,0.001,0.792,1.3032324557059625
19,0.8266666666666665,1.2679020072494414,0.001,0.792,1.311514049550922
20,0.8206666666666667,1.277439442951302,0.001,0.788,1.3130112166429753
21,0.8318666666666664,1.2689733395574765,0.001,0.808,1.295995277575777
22,0.814533333333333,1.283733596739902,0.001,0.81,1.3121041277841508
23,0.8311999999999999,1.2712907544349414,0.001,0.778,1.3104270905111401
24,0.8299999999999998,1.2694488609115826,0.001,0.77,1.3096078356074359
25,0.8225333333333331,1.2817044697932172,0.001,0.772,1.3180625654012135
26,0.8539999999999998,1.2504748614201582,0.001,0.764,1.3224079647106355
27,0.8134666666666664,1.2770736290475988,0.001,0.764,1.3293962526692917
28,0.8506666666666668,1.2619999413061573,0.001,0.774,1.3150068381981799
29,0.8323999999999997,1.2681895749176373,0.001,0.8,1.3382247953667386
30,0.8419999999999996,1.2608076867783753,0.001,0.796,1.306446947168639
31,0.8572,1.2532110306484896,0.001,0.772,1.3111334320941643
32,0.8405333333333331,1.2680095883274882,0.001,0.78,1.3418632951102918
33,0.8463999999999997,1.2666947033775162,0.001,0.782,1.3088413133230226
34,0.8394666666666665,1.2682875297260106,0.001,0.808,1.2997081858669914
